"Case ID","Activity","Start Date","End Date","Estimated value","Status","Resource"
"Case 7","Update","14.4.10 7:45","14.4.10 7:48","Medium","Proposal","userD@staff.org"
"Case 7","Update","18.4.10 17:34","18.4.10 17:40","Medium","Proposal","userV@staff.org"
"Case 7","Share","22.4.10 15:23","22.4.10 15:29","Medium","Proposal","userD@staff.org"
"Case 7","Update","23.4.10 11:06","23.4.10 11:11","Medium","Recommendation","userV@staff.org"
"Case 8","Create","18.3.10 17:07","18.3.10 17:12","High","Draft","userP@staff.org"
"Case 8","Update","19.3.10 8:10","19.3.10 8:12","High","Draft","userP@staff.org"
"Case 8","Update","19.3.10 8:54","19.3.10 8:55","High","Draft","userA@staff.org"
"Case 8","Share","19.3.10 10:15","19.3.10 10:16","High","Draft","userA@staff.org"
"Case 8","Share","20.3.10 15:00","20.3.10 15:01","High","Draft","userP@staff.org"
"Case 8","Update","28.3.10 12:02","28.3.10 12:08","High","Draft","userP@staff.org"
"Case 8","Share","28.3.10 12:27","28.3.10 13:08","High","Proposal","userA@staff.org"
"Case 8","Share","28.3.10 13:09","28.3.10 13:13","High","Proposal","userP@staff.org"
"Case 8","Update","28.3.10 13:13","28.3.10 13:14","High","Proposal","userP@staff.org"
"Case 8","Share","28.3.10 16:27","28.3.10 16:29","High","Proposal","userM@staff.org"
"Case 8","Update","29.3.10 12:27","29.3.10 12:28","High","Proposal","userP@staff.org"
"Case 8","Share","30.3.10 10:03","30.3.10 10:05","High","Proposal","userP@staff.org"
"Case 8","Update","30.3.10 12:20","30.3.10 12:23","High","Recommendation","userP@staff.org"
"Case 9","Create","26.3.10 12:27","26.3.10 12:27","Medium","Draft","userF@staff.org"
"Case 9","Update","26.3.10 14:43","26.3.10 14:43","Medium","Draft","userF@staff.org"
"Case 9","Update","26.3.10 16:21","26.3.10 16:30","Medium","Draft","userF@staff.org"
"Case 9","Share","27.3.10 14:24","27.3.10 14:27","Medium","Draft","userV@staff.org"
"Case 9","Share","28.3.10 16:23","28.3.10 16:35","Medium","Proposal","userD@staff.org"
"Case 9","Update","29.3.10 14:59","29.3.10 15:04","Medium","Proposal","userD@staff.org"
"Case 9","Share","29.3.10 17:36","29.3.10 17:37","Medium","Proposal","userV@staff.org"
"Case 9","Share","30.3.10 11:14","30.3.10 11:15","Medium","Proposal","userG@staff.org"
"Case 9","Update","30.3.10 14:14","30.3.10 14:18","Medium","Proposal","userG@staff.org"
"Case 10","Create","25.3.10 13:59","25.3.10 14:08","High","Draft","userF@staff.org"
"Case 10","Update","25.3.10 16:48","25.3.10 16:53","High","Draft","userF@staff.org"
"Case 10","Update","26.3.10 10:08","26.3.10 10:10","High","Draft","userV@staff.org"
"Case 10","Share","26.3.10 14:34","26.3.10 14:37","High","Draft","userV@staff.org"
"Case 10","Share","27.3.10 7:22","27.3.10 7:23","High","Draft","userD@staff.org"
"Case 10","Update","25.3.10 8:09","25.3.10 8:11","High","Proposal","userD@staff.org"
"Case 10","Share","29.3.10 7:25","29.3.10 7:27","High","Proposal","userV@staff.org"
"Case 10","Share","29.3.10 7:34","29.3.10 7:37","High","Proposal","userV@staff.org"
"Case 10","Update","30.3.10 13:02","30.3.10 13:04","High","Proposal","userF@staff.org"
"Case 11","Create","4.3.10 16:54","6.3.10 14:34","High","Draft","userF@staff.org"
"Case 11","Update","6.3.10 14:35","6.3.10 14:37","High","Draft","userF@staff.org"
"Case 11","Share","6.3.10 14:37","6.3.10 14:37","High","Draft","userF@staff.org"
"Case 11","Update","27.3.10 17:33","27.3.10 17:37","High","Proposal","userV@staff.org"
"Case 11","Share","28.3.10 11:22","28.3.10 11:24","High","Proposal","userD@staff.org"
